Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,type_season,season_year
16,Malik Beasley,SG,26,LAL,11,0,8.3,0.9,3.1,0.294,0.6,2.4,0.269,0.3,0.7,0.375,0.397,0.5,0.5,1.0,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,3.0,playoffs,2022-2023
29,Troy Brown Jr.,SF,23,LAL,12,0,10.3,0.8,2.3,0.357,0.2,1.3,0.133,0.7,1.1,0.615,0.393,0.0,0.0,0.0,0.3,1.7,2.0,0.9,0.2,0.1,0.0,0.3,1.8,playoffs,2022-2023
38,Max Christie,SG,19,LAL,9,0,3.7,0.6,1.1,0.5,0.1,0.4,0.25,0.4,0.7,0.667,0.55,0.2,0.4,0.5,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.0,1.4,playoffs,2022-2023
49,Anthony Davis,C,29,LAL,16,16,38.0,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,playoffs,2022-2023
63,Wenyen Gabriel,C,25,LAL,10,0,3.7,0.4,1.0,0.4,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.2,0.3,0.667,0.8,0.1,0.9,0.0,0.2,0.3,0.2,0.8,1.0,playoffs,2022-2023
74,Rui Hachimura,PF,24,LAL,16,1,24.3,4.6,8.2,0.557,1.2,2.4,0.487,3.4,5.8,0.587,0.63,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2,playoffs,2022-2023
79,Shaquille Harrison,SG,29,LAL,8,0,3.5,0.5,0.9,0.571,0.1,0.1,1.0,0.4,0.8,0.5,0.643,0.1,0.3,0.5,0.0,0.4,0.4,1.1,0.3,0.0,0.0,0.4,1.3,playoffs,2022-2023
96,LeBron James,PF,38,LAL,16,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,playoffs,2022-2023
172,Austin Reaves,SG,24,LAL,16,16,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,playoffs,2022-2023
181,D'Angelo Russell,PG,26,LAL,16,15,29.6,5.2,12.2,0.426,1.7,5.4,0.31,3.5,6.8,0.519,0.495,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2.0,13.3,playoffs,2022-2023
