player_id,full_name,first_name,last_name
1629653,Devon Dotson,Devon,Dotson
1630288,Jeff Dowtin,Jeff,Dowtin
1628408,P.J. Dozier,P.J.,Dozier
201609,Goran Dragic,Goran,Dragic
203083,Andre Drummond,Andre,Drummond
1630537,Chris Duarte,Chris,Duarte
1630561,David Duke Jr.,David,Duke Jr.
201142,Kevin Durant,Kevin,Durant
1631105,Jalen Duren,Jalen,Duren
1631347,Anthony Duruji,Anthony,Duruji
1631106,Tari Eason,Tari,Eason
1630162,Anthony Edwards,Anthony,Edwards
1630556,Kessler Edwards,Kessler,Edwards
1629604,CJ Elleby,CJ,Elleby
1631165,Keon Ellis,Keon,Ellis
203954,Joel Embiid,Joel,Embiid
1629234,Drew Eubanks,Drew,Eubanks
202324,Derrick Favors,Derrick,Favors
1628981,Bruno Fernando,Bruno,Fernando
1627827,Dorian Finney-Smith,Dorian,Finney-Smith
1630238,Malik Fitts,Malik,Fitts
1630201,Malachi Flynn,Malachi,Flynn
1631323,Simone Fontecchio,Simone,Fontecchio
1627854,Bryn Forbes,Bryn,Forbes
1630235,Trent Forrest,Trent,Forrest
1630701,Michael Foster Jr.,Michael,Foster Jr.
203095,Evan Fournier,Evan,Fournier
1628368,De'Aaron Fox,De'Aaron,Fox
1628365,Markelle Fultz,Markelle,Fultz
1629117,Wenyen Gabriel,Wenyen,Gabriel
203583,Abdul Gaddy,Abdul,Gaddy
1629655,Daniel Gafford,Daniel,Gafford
201568,Danilo Gallinari,Danilo,Gallinari
204038,Langston Galloway,Langston,Galloway
1629636,Darius Garland,Darius,Garland
1630585,Marcus Garrett,Marcus,Garrett
1630586,Usman Garuba,Usman,Garuba
1630568,Luka Garza,Luka,Garza
200752,Rudy Gay,Rudy,Gay
202331,Paul George,Paul,George
201959,Taj Gibson,Taj,Gibson
1630581,Josh Giddey,Josh,Giddey
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander
1630264,Anthony Gill,Anthony,Gill
1631221,Collin Gillespie,Collin,Gillespie
203497,Rudy Gobert,Rudy,Gobert
1631371,Grant Golden,Grant,Golden
1630692,Jordan Goodwin,Jordan,Goodwin
203932,Aaron Gordon,Aaron,Gordon
201569,Eric Gordon,Eric,Gordon
1628984,Devonte' Graham,Devonte',Graham
203924,Jerami Grant,Jerami,Grant
1630564,RaiQuan Gray,RaiQuan,Gray
1631260,A.J. Green,A.J.,Green
201980,Danny Green,Danny,Green
203110,Draymond Green,Draymond,Green
203210,JaMychal Green,JaMychal,Green
1630224,Jalen Green,Jalen,Green
1629750,Javonte Green,Javonte,Green
201145,Jeff Green,Jeff,Green
1630182,Josh Green,Josh,Green
1631100,AJ Griffin,AJ,Griffin
201933,Blake Griffin,Blake,Griffin
1629656,Quentin Grimes,Quentin,Grimes
1631338,Mouhamadou Gueye,Mouhamadou,Gueye
1629060,Rui Hachimura,Rui,Hachimura
1630169,Tyrese Haliburton,Tyrese,Haliburton
1631160,Jordan Hall,Jordan,Hall
1629788,Tyler Hall,Tyler,Hall
1630181,R.J. Hampton,R.J.,Hampton
203501,Tim Hardaway Jr.,Tim,Hardaway Jr.
201935,James Harden,James,Harden
1630702,Jaden Hardy,Jaden,Hardy
1631199,Ron Harper Jr.,Ron,Harper Jr.
1626149,Montrezl Harrell,Montrezl,Harrell
