game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
41900402,0,1610612747,LAL,Los Angeles,56,21,9,18,4,2,0.0,9.0,8.0,8.0,1610612748,MIA,Miami,46,14,2,2,1.0,10.0,4.0,8.0
41900403,0,1610612748,MIA,Miami,52,5,9,14,7,6,1.0,13.0,6.0,17.0,1610612747,LAL,Los Angeles,34,6,15,4,1.0,20.0,7.0,21.0
41900404,0,1610612747,LAL,Los Angeles,34,12,7,9,9,9,0.0,15.0,9.0,13.0,1610612748,MIA,Miami,32,7,4,5,4.0,15.0,5.0,19.0
41900406,0,1610612747,LAL,Los Angeles,52,18,16,36,0,3,2.0,14.0,8.0,14.0,1610612748,MIA,Miami,44,5,8,0,2.0,15.0,9.0,20.0
22000002,0,1610612746,LAC,LA,50,15,16,22,0,1,0.0,16.0,9.0,19.0,1610612747,LAL,Los Angeles,38,9,12,0,0.0,19.0,10.0,16.0
22000008,0,1610612747,LAL,Los Angeles,52,35,20,27,3,1,1.0,17.0,8.0,19.0,1610612742,DAL,Dallas,54,0,17,5,0.0,9.0,7.0,16.0
22000040,0,1610612750,MIN,Minnesota,58,18,8,0,0,0,1.0,18.0,10.0,19.0,1610612747,LAL,Los Angeles,60,13,20,42,0.0,17.0,10.0,17.0
22000045,0,1610612747,LAL,Los Angeles,52,16,16,13,5,6,1.0,15.0,8.0,18.0,1610612757,POR,Portland,40,8,16,8,1.0,10.0,6.0,10.0
22000060,0,1610612759,SAS,San Antonio,46,15,19,7,3,4,1.0,11.0,6.0,11.0,1610612747,LAL,Los Angeles,46,13,23,18,0.0,17.0,2.0,25.0
22000087,0,1610612747,LAL,Los Angeles,48,18,17,16,5,7,0.0,10.0,6.0,14.0,1610612763,MEM,Memphis,52,16,12,12,2.0,13.0,5.0,21.0
22000103,0,1610612763,MEM,Memphis,42,12,11,10,14,6,0.0,13.0,7.0,14.0,1610612747,LAL,Los Angeles,44,8,11,9,0.0,17.0,8.0,18.0
22000121,0,1610612759,SAS,San Antonio,32,9,11,15,0,1,2.0,8.0,7.0,11.0,1610612747,LAL,Los Angeles,66,14,8,0,0.0,13.0,6.0,16.0
22000146,0,1610612745,HOU,Houston,50,15,7,1,2,0,0.0,21.0,8.0,30.0,1610612747,LAL,Los Angeles,60,13,32,27,1.0,17.0,11.0,17.0
22000161,0,1610612745,HOU,Houston,52,11,10,0,0,0,2.0,15.0,8.0,16.0,1610612747,LAL,Los Angeles,42,23,17,30,1.0,21.0,8.0,27.0
22000170,0,1610612760,OKC,Oklahoma City,48,6,15,0,0,0,1.0,12.0,6.0,15.0,1610612747,LAL,Los Angeles,56,14,9,31,1.0,10.0,8.0,7.0
22000187,0,1610612740,NOP,New Orleans,46,15,10,15,5,3,0.0,20.0,7.0,20.0,1610612747,LAL,Los Angeles,42,16,12,25,2.0,8.0,12.0,5.0
22000245,0,1610612747,LAL,Los Angeles,54,9,13,30,2,2,1.0,19.0,10.0,17.0,1610612741,CHI,Chicago,42,14,15,2,1.0,19.0,9.0,13.0
22000261,0,1610612739,CLE,Cleveland,60,22,16,6,12,10,0.0,17.0,8.0,22.0,1610612747,LAL,Los Angeles,52,22,13,14,1.0,14.0,9.0,15.0
22000284,0,1610612747,LAL,Los Angeles,48,8,15,7,15,8,0.0,11.0,7.0,16.0,1610612765,DET,Detroit,42,9,10,18,1.0,9.0,14.0,5.0
22000302,0,1610612747,LAL,Los Angeles,40,16,5,10,17,15,0.0,14.0,5.0,14.0,1610612738,BOS,Boston,60,11,9,8,0.0,15.0,8.0,11.0
22000313,0,1610612737,ATL,Atlanta,50,11,6,6,11,10,2.0,19.0,9.0,21.0,1610612747,LAL,Los Angeles,54,10,18,10,2.0,13.0,9.0,8.0
22000341,0,1610612747,LAL,Los Angeles,66,9,25,25,5,6,0.0,16.0,12.0,15.0,1610612743,DEN,Denver,42,15,12,12,2.0,17.0,7.0,19.0
22000361,0,1610612747,LAL,Los Angeles,72,11,23,17,10,6,1.0,24.0,9.0,22.0,1610612765,DET,Detroit,54,15,6,5,3.0,23.0,13.0,26.0
22000390,0,1610612747,LAL,Los Angeles,60,9,13,4,3,7,1.0,17.0,11.0,16.0,1610612760,OKC,Oklahoma City,66,12,13,20,0.0,13.0,6.0,13.0
22000403,0,1610612747,LAL,Los Angeles,58,21,23,17,1,1,0.0,18.0,13.0,29.0,1610612763,MEM,Memphis,46,11,18,20,0.0,17.0,4.0,29.0
22000416,0,1610612743,DEN,Denver,30,15,15,21,10,4,1.0,10.0,12.0,6.0,1610612747,LAL,Los Angeles,62,11,18,7,0.0,10.0,7.0,10.0
22000431,0,1610612747,LAL,Los Angeles,50,12,16,14,15,10,0.0,18.0,7.0,16.0,1610612750,MIN,Minnesota,38,10,11,8,0.0,15.0,13.0,19.0
22000446,0,1610612747,LAL,Los Angeles,54,11,7,6,1,4,0.0,16.0,5.0,14.0,1610612751,BKN,Brooklyn,32,12,7,25,1.0,14.0,12.0,25.0
22000463,0,1610612748,MIA,Miami,52,11,7,15,4,2,0.0,14.0,9.0,13.0,1610612747,LAL,Los Angeles,38,12,5,3,1.0,15.0,8.0,21.0
22000479,0,1610612764,WAS,Washington,66,11,19,8,10,8,0.0,16.0,16.0,22.0,1610612747,LAL,Los Angeles,50,22,11,17,0.0,20.0,9.0,28.0
22000497,0,1610612762,UTA,Utah,38,16,21,29,2,3,0.0,12.0,4.0,18.0,1610612747,LAL,Los Angeles,42,14,6,4,0.0,14.0,7.0,22.0
22000512,0,1610612757,POR,Portland,30,17,13,11,9,6,1.0,16.0,7.0,22.0,1610612747,LAL,Los Angeles,52,12,23,16,1.0,10.0,7.0,8.0
22000527,0,1610612744,GSW,Golden State,46,7,13,1,1,0,0.0,20.0,9.0,22.0,1610612747,LAL,Los Angeles,54,21,22,35,1.0,20.0,10.0,13.0
22000542,0,1610612747,LAL,Los Angeles,50,10,5,2,12,3,0.0,12.0,8.0,12.0,1610612756,PHX,Phoenix,36,13,7,14,1.0,14.0,8.0,10.0
22000585,0,1610612754,IND,Indiana,50,9,14,12,6,4,0.0,16.0,5.0,20.0,1610612747,LAL,Los Angeles,54,8,14,6,0.0,15.0,12.0,21.0
22000608,0,1610612744,GSW,Golden State,40,8,20,4,6,5,0.0,22.0,5.0,29.0,1610612747,LAL,Los Angeles,68,13,18,36,0.0,19.0,7.0,24.0
22000615,0,1610612750,MIN,Minnesota,64,6,16,7,12,11,0.0,12.0,7.0,15.0,1610612747,LAL,Los Angeles,70,10,15,18,1.0,14.0,6.0,18.0
22000630,0,1610612766,CHA,Charlotte,60,8,12,3,5,5,0.0,19.0,5.0,14.0,1610612747,LAL,Los Angeles,52,13,11,18,0.0,11.0,6.0,18.0
22000640,0,1610612737,ATL,Atlanta,46,17,2,14,5,10,0.0,8.0,4.0,5.0,1610612747,LAL,Los Angeles,40,8,9,4,0.0,16.0,8.0,14.0
22000651,0,1610612756,PHX,Phoenix,52,12,6,18,0,1,1.0,11.0,7.0,11.0,1610612747,LAL,Los Angeles,46,8,17,0,0.0,11.0,10.0,10.0
22000663,0,1610612740,NOP,New Orleans,62,16,18,30,5,4,1.0,14.0,6.0,15.0,1610612747,LAL,Los Angeles,32,13,10,5,0.0,13.0,10.0,14.0
22000681,0,1610612747,LAL,Los Angeles,48,8,12,5,7,9,2.0,22.0,15.0,24.0,1610612755,PHI,Philadelphia,38,7,12,18,1.0,21.0,5.0,22.0
22000693,0,1610612739,CLE,Cleveland,42,9,7,10,6,8,0.0,21.0,10.0,21.0,1610612747,LAL,Los Angeles,58,9,13,19,0.0,23.0,13.0,19.0
22000706,0,1610612747,LAL,Los Angeles,40,7,9,13,17,10,0.0,12.0,5.0,9.0,1610612753,ORL,Orlando,42,14,14,5,1.0,11.0,3.0,20.0
22000729,0,1610612749,MIL,Milwaukee,44,6,7,20,6,4,1.0,22.0,7.0,24.0,1610612747,LAL,Los Angeles,38,20,9,10,0.0,22.0,9.0,27.0
22000746,0,1610612758,SAC,Sacramento,44,5,7,2,1,2,1.0,15.0,6.0,24.0,1610612747,LAL,Los Angeles,44,10,20,27,0.0,17.0,10.0,11.0
22000756,0,1610612746,LAC,LA,34,9,10,24,0,0,1.0,20.0,4.0,12.0,1610612747,LAL,Los Angeles,40,6,8,0,1.0,19.0,9.0,15.0
